No,Title,Artist,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,GENRE,KATEGORI EMOSI,Cover_url
368,Just the Way You Are,Bruno Mars,109,84,64,-5,42,3:40,1,R&B,happy,https://lh3.googleusercontent.com/u/0/d/150fuBxc84a3tfku6F3UZHT-xQci4UguM
369,"Koyo Jogja Istimewa - From ""Cidro Asmoro""",Ndarboy Genk,124,83,77,-5,92,4:28,44,Pop Jawa,happy,https://lh3.googleusercontent.com/u/0/d/109yCr_0NbGDORENzWBeTOqcthPNk-mwq
370,Congrats,LANY,84,49,53,-7,24,3:37,20,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1lvCAsGIL2NjSsaEjtLJJPd78JTcenii5
371,Creep,Radiohead,92,43,52,-10,10,3:56,1,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1zSkqiaKqBk4Lspx0R9hJSe3ZtQfuz8oF
372,Let Down,Radiohead,102,68,35,-9,14,4:59,0,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1Vzmv2d60wfjs5ldrVSjl3T7lbUV4G7zB
373,No Surprises,Radiohead,76,39,26,-11,12,3:47,6,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1Vzmv2d60wfjs5ldrVSjl3T7lbUV4G7zB
374,Fake Plastic Trees,Radiohead,74,23,46,-13,14,4:50,17,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1Nxr6ZWyfRvPH9rvINwo__jdFM15HJL2d
375,Last Night on Earth,Green Day,120,49,56,-7,24,3:56,4,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1NFIwpJhpD8RInDzV9CWMweOtzPEFXbFe
376,Cancer,My Chemical Romance,75,52,46,-4,22,2:23,36,Rock,sad,https://lh3.googleusercontent.com/u/0/d/14TIZEhfhquUHaZdJnl8_DA6I-oQyzfni
377,Kupu - Kupu,Tiara Andini,122,75,69,-5,57,4:02,47,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1o826RVv6cUtXLfq53lO4ru2oOnfa7aql
378,Lemah Teles,Happy Asmara,119,60,56,-7,43,6:16,93,Pop Jawa,relaxed,https://lh3.googleusercontent.com/u/0/d/1WlUKJW3_25RX_dBrmDx_JBCvd-T-kSCZ
379,Love Story (Taylor’s Version),Taylor Swift,119,79,63,-4,42,3:56,14,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1tigNfbwh2aYFb4rq2PcB0vSa8uWUOcfO
380,bad guy,Billie Eilish,135,43,70,-11,56,3:14,33,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1m3ETxZsWQ5Kf726UHZJ-SshBi0if8bZJ
381,Mendung Tanpo Udan,Ndarboy Genk,125,74,60,-5,46,5:08,33,Pop Jawa,angry,https://lh3.googleusercontent.com/u/0/d/1PmuWfpx9nzV4H4ZV8KF9N1zFk8GwaG8b
382,Intentions,Pamungkas,143,41,60,-12,65,3:34,90,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1DH9gn_BWwhd1KPJElbOn-YuskLthbh1m
383,Arjuna,Dewa,138,85,53,-6,35,4:52,3,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1EeJ-XLUYYJ-Q5pMRz-GiYT67QulLu6SS
384,Cerito Loro,Happy Asmara,125,53,75,-6,63,6:17,57,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1sIQZMLN1EltiXFFWxp1S3-xXkfZn-gfO
385,13,LANY,134,54,78,-8,70,3:56,69,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1mdhputxmz-niLJVFIZnr5DIRhr8i4SvR
386,Kamulah Satu - Satunya,Dewa 19,74,71,43,-8,62,3:59,5,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1cvXuJ-X67dUsTczHt66GMe4673GxkVXb
387,Satu-Satunya,Hivi!,125,65,68,-7,86,4:45,2,Pop,happy,https://lh3.googleusercontent.com/u/0/d/12DnQft_6Yprx6lwojNImzDj7WpN9cG6x
388,Tekan Semene,Aftershine,130,69,62,-9,28,5:08,25,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1GTPJEiXqsVGlEWgCHdSTDWwzIzyJlHu3
389,Titik Nadir (feat. Monita Tahalea),Kahitna,118,41,38,-8,33,4:04,84,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1yJzv3NM5bebgNiwrmtO6X6YrBYNDsWsE
390,Soulmate,Kahitna,116,41,68,-6,26,3:31,82,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1BQ2TJbphhJP5U_Ueoqq4fgzypTwRkaW2
391,Cantik,Kahitna,161,74,63,-6,48,4:03,40,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1LpFC7Y78P-WxxrBIfPtZs5WHXnCYbU13
392,Cinta Dan Rahasia,Yura Yunita,96,21,70,-8,51,4:20,82,Pop,sad,https://lh3.googleusercontent.com/u/0/d/15vIw-_P_zX4Z6mDBK6SFRoFjazSOHBc4
393,Rahasia Hati,Nidji,124,64,57,-7,35,4:10,46,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1UVCVYnl4_gLWRTkCInkN-ZYcLXZNeeHn
394,Vicious,Sabrina Carpenter,130,46,72,-7,63,2:29,31,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1UVCVYnl4_gLWRTkCInkN-ZYcLXZNeeHn
395,Fool's Gold,One Direction,128,77,52,-5,38,3:31,23,Pop,angry,https://lh3.googleusercontent.com/u/0/d/1U5uV4Mer0WynkblQM-fIbV-YS8Mkg-0M
396,Gampil,Guyon Waton,132,68,65,-10,59,4:50,48,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1OEAX_Cm5LS8MFt5h9SL01but555vRhpA
397,Tawa,Nadin Amizah,90,70,40,-6,36,4:15,42,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1jJxXyaBYN_BD98qr1vqE9fbiM3LenRUq
398,Kekal,Nadin Amizah,146,30,34,-12,28,4:40,92,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1nJLeCip1EDack47dUfWBmR0wFl2luT3_
399,Radio,Lana Del Rey,75,86,42,-5,20,3:34,19,Pop Indie,angry,https://lh3.googleusercontent.com/u/0/d/141pVpnWkfQI8rzYaMKllgOnZiJ45VzLU
400,Kimcil Kepolen,NDX A.K.A.,140,79,69,-6,83,4:02,34,Pop Jawa,angry,https://lh3.googleusercontent.com/u/0/d/1ZkNFsKYhbgLhKJKQUtXAlwJHftm-NEOP
401,Topeng,Noah,133,75,55,-9,73,4:27,1,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1Bmr3cmOfPCcomWgvC-pCXE3QJL61pUsV
402,Elang,Dewa 19,95,91,48,-6,77,4:44,0,Rock,happy,https://lh3.googleusercontent.com/u/0/d/1h91wVsExb6EIOR3mgkdj_fJUnPKGjVoz
403,Ego Wong Tuo - HipHop Dangdut Version,NDX A.K.A.,143,61,67,-10,93,4:37,62,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1MDPQsai57FwaalIJMlBFZO49TWLjwS5Y
404,Fortnight (feat. Post Malone),Taylor Swift,192,39,50,-11,28,3:53,50,Pop,sad,https://lh3.googleusercontent.com/u/0/d/141pVpnWkfQI8rzYaMKllgOnZiJ45VzLU
405,What Makes You Beautiful,One Direction,125,79,73,-2,89,3:20,1,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1BE0hkRTT9SK0uDiJodcMyxMcycMpNJ9q
406,Sigar,Denny Caknan,128,71,61,-5,48,5:51,50,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1rZlyakT_JIvywTMrypxtIJKTCetyvT6r
407,everything i wanted,Billie Eilish,120,23,70,-14,24,4:06,90,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/162lufmhhRyjFdhvU1i0p8eFrq-w7OpCE
408,Super Far,LANY,96,46,57,-7,46,3:25,10,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1npKBb44UFO7u7JTefjGiy7_j7v8yi5Gx
409,Coincidence,Sabrina Carpenter,78,82,42,-6,76,2:44,36,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1Z9M2bgpG2fTSOmtLe-OVy2FQ6wn0aRWB
410,Lali Janjine,Niken Salindry,97,55,29,-5,14,6:08,17,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1Uo5RD89OErQsX7_8dVV342LOYAs2ss1D
411,Style,Taylor Swift,95,79,59,-6,49,3:50,0,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1xkSR1kzKl_ZFQdzQEyP2C_cWKpJ3bti4
412,I Hate U,SZA,107,42,53,-9,38,2:55,51,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1BmFFQTWyLkhf4l55uE4h_3C4fRLfTOpH
413,Thru These Tears,LANY,120,52,71,-8,29,3:23,15,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1vXFPDhu4SxZ6nZTRbNBRIGcrahOJgcVb
414,A Sky Full of Stars,Coldplay,125,68,55,-6,16,4:26,1,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1sJigsllMtEr4M2rd5XOYcOHweBeVXFnD
415,Kok Iso Yo?,Guyon Waton,135,46,65,-12,58,5:36,53,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1M6c__g5-raQa-7GOZZfgxRfJdtnOK_CV
416,Cundamani,Denny Caknan,122,72,64,-4,55,4:44,16,Pop Jawa,happy,https://lh3.googleusercontent.com/u/0/d/1uJST3yo6i82E4_9AvSKPxvd1d0VyKa52
417,champagne problems,Taylor Swift,171,24,46,-12,32,4:07,92,Pop,sad,https://lh3.googleusercontent.com/u/0/d/18ZATsHsDCe_Mw9c9NlIriMqh8x4ceLiw
418,The Scientist,Coldplay,146,44,56,-7,21,5:10,73,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1XmzPxFsmEOlmzaiUXiKXyzZ-uGgqrdns
419,Am I Bothering You?,Reality Club,137,89,41,-5,34,3:46,0,Pop Indo,angry,https://lh3.googleusercontent.com/u/0/d/1T8ypeAF2wegjAeJVdIILCjSKJdKg31AW
420,Ours To Keep,Kendis,180,38,38,-8,26,3:26,71,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1yAHl3PYljc7WYinLQor56R0F-KUEpMG0
421,Anything You Want,Reality Club,176,58,21,-8,31,3:56,1,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1f3xKIa6W108wV4QcUrgq6dKC2OZhgPmR
422,Losing Us.,raissa anggiani,136,21,43,-9,23,3:55,98,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1cE_CVTNt7Dfkw7Y_-cSktlj3WiAqwfip
423,I Wish You Were Here,Sound Of A Mirror,140,37,65,-8,49,4:08,83,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1jdy6z7LoT5HnoUTVfMtXXE-VbQPTWFny
